market,stock_code,corp_name,fiscal_year,eval_year,credit_rating,is_speculative
KOSDAQ,000250,삼천당제약(주),2016,2017,A-,0
KOSDAQ,000250,삼천당제약(주),2017,2018,A-,0
KOSDAQ,000250,삼천당제약(주),2018,2019,A-,0
KOSDAQ,000250,삼천당제약(주),2019,2020,BBB+,0
KOSDAQ,000250,삼천당제약(주),2020,2021,BBB-,0
KOSDAQ,000250,삼천당제약(주),2021,2022,BBB-,0
KOSDAQ,000250,삼천당제약(주),2022,2023,BBB-,0
KOSDAQ,000250,삼천당제약(주),2023,2024,BBB-,0
KOSDAQ,001540,안국약품(주),2016,2017,A-,0
KOSDAQ,001540,안국약품(주),2017,2018,A-,0
KOSDAQ,001540,안국약품(주),2018,2019,A-,0
KOSDAQ,001540,안국약품(주),2019,2020,A-,0
KOSDAQ,001540,안국약품(주),2020,2021,BBB+,0
KOSDAQ,001540,안국약품(주),2021,2022,BBB+,0
KOSDAQ,001840,이화공영(주),2014,2015,A-,0
KOSDAQ,001840,이화공영(주),2015,2016,A-,0
KOSDAQ,001840,이화공영(주),2016,2017,A-,0
KOSDAQ,001840,이화공영(주),2017,2018,A-,0
KOSDAQ,001840,이화공영(주),2018,2019,A-,0
KOSDAQ,001840,이화공영(주),2019,2020,A-,0
KOSDAQ,001840,이화공영(주),2020,2021,A-,0
KOSDAQ,001840,이화공영(주),2021,2022,A-,0
KOSDAQ,001840,이화공영(주),2022,2023,BBB+,0
KOSDAQ,002290,(주)삼일기업공사,2016,2017,A-,0
KOSDAQ,002290,(주)삼일기업공사,2017,2018,A-,0
KOSDAQ,002290,(주)삼일기업공사,2018,2019,A-,0
KOSDAQ,002290,(주)삼일기업공사,2019,2020,A-,0
KOSDAQ,002290,(주)삼일기업공사,2020,2021,A+,0
KOSDAQ,002290,(주)삼일기업공사,2021,2022,A+,0
KOSDAQ,002290,(주)삼일기업공사,2022,2023,A+,0
KOSDAQ,002290,(주)삼일기업공사,2023,2024,A+,0
KOSDAQ,003380,(주)하림지주,2020,2021,A-,0
KOSDAQ,003380,(주)하림지주,2021,2022,A-,0
KOSDAQ,003380,(주)하림지주,2022,2023,A-,0
KOSDAQ,003380,(주)하림지주,2023,2024,A-,0
KOSDAQ,003800,(주)에이스침대,2017,2018,AA-,0
KOSDAQ,003800,(주)에이스침대,2018,2019,AA,0
KOSDAQ,003800,(주)에이스침대,2019,2020,AA,0
KOSDAQ,003800,(주)에이스침대,2020,2021,AA,0
KOSDAQ,003800,(주)에이스침대,2021,2022,AA,0
KOSDAQ,005160,동국산업(주),2014,2015,BBB+,0
KOSDAQ,005160,동국산업(주),2015,2016,BBB+,0
KOSDAQ,005160,동국산업(주),2016,2017,BBB+,0
KOSDAQ,005160,동국산업(주),2017,2018,BBB+,0
KOSDAQ,005160,동국산업(주),2018,2019,BBB+,0
KOSDAQ,005160,동국산업(주),2019,2020,BBB+,0
KOSDAQ,005160,동국산업(주),2020,2021,BBB+,0
KOSDAQ,005160,동국산업(주),2021,2022,A-,0
KOSDAQ,005160,동국산업(주),2022,2023,BBB+,0
KOSDAQ,005160,동국산업(주),2023,2024,BBB+,0
KOSDAQ,006140,(주)피제이전자,2018,2019,A+,0
KOSDAQ,006140,(주)피제이전자,2019,2020,A+,0
KOSDAQ,006140,(주)피제이전자,2020,2021,A+,0
KOSDAQ,006140,(주)피제이전자,2021,2022,A+,0
KOSDAQ,006140,(주)피제이전자,2022,2023,BBB+,0
KOSDAQ,006140,(주)피제이전자,2023,2024,BBB+,0
KOSDAQ,006620,(주)동구바이오제약,2019,2020,A,0
KOSDAQ,006620,(주)동구바이오제약,2022,2023,A,0
KOSDAQ,007390,(주)네이처셀,2018,2019,BB+,1
KOSDAQ,007390,(주)네이처셀,2022,2023,BB-,1
KOSDAQ,007390,(주)네이처셀,2023,2024,BB-,1
KOSDAQ,007680,(주)대원,2018,2019,A+,0
KOSDAQ,007680,(주)대원,2020,2021,A,0
KOSDAQ,007680,(주)대원,2021,2022,A,0
KOSDAQ,007680,(주)대원,2022,2023,A,0
KOSDAQ,007680,(주)대원,2023,2024,A-,0
KOSDAQ,007720,(주)소노스퀘어,2022,2023,BB,1
KOSDAQ,007770,한일화학공업(주),2018,2019,BBB+,0
KOSDAQ,007770,한일화학공업(주),2019,2020,BBB+,0
KOSDAQ,007770,한일화학공업(주),2020,2021,BBB,0
KOSDAQ,007770,한일화학공업(주),2021,2022,BBB,0
KOSDAQ,007770,한일화학공업(주),2022,2023,BBB,0
KOSDAQ,007770,한일화학공업(주),2023,2024,BBB-,0
KOSDAQ,007820,(주)에스엠코어,2014,2015,A-,0
KOSDAQ,007820,(주)에스엠코어,2015,2016,BBB+,0
KOSDAQ,007820,(주)에스엠코어,2016,2017,BBB-,0
KOSDAQ,007820,(주)에스엠코어,2017,2018,BBB,0
KOSDAQ,007820,(주)에스엠코어,2018,2019,BBB+,0
KOSDAQ,007820,(주)에스엠코어,2019,2020,A-,0
KOSDAQ,007820,(주)에스엠코어,2020,2021,A-,0
KOSDAQ,007820,(주)에스엠코어,2021,2022,BBB+,0
KOSDAQ,007820,(주)에스엠코어,2022,2023,A-,0
KOSDAQ,007820,(주)에스엠코어,2023,2024,BBB+,0
KOSDAQ,008470,(주)부-스타,2021,2022,A,0
KOSDAQ,008470,(주)부-스타,2022,2023,BBB+,0
KOSDAQ,009520,(주)포스코엠텍,2015,2016,BBB+,0
KOSDAQ,009520,(주)포스코엠텍,2016,2017,A-,0
KOSDAQ,009520,(주)포스코엠텍,2017,2018,A,0
KOSDAQ,009520,(주)포스코엠텍,2018,2019,A+,0
KOSDAQ,009520,(주)포스코엠텍,2019,2020,A+,0
KOSDAQ,009520,(주)포스코엠텍,2020,2021,A+,0
KOSDAQ,009520,(주)포스코엠텍,2021,2022,A+,0
KOSDAQ,009520,(주)포스코엠텍,2022,2023,A+,0
KOSDAQ,009520,(주)포스코엠텍,2023,2024,A+,0
KOSDAQ,009620,삼보산업(주),2020,2021,CCC,1
KOSDAQ,009620,삼보산업(주),2021,2022,CCC,1
KOSDAQ,009620,삼보산업(주),2022,2023,CCC,1
KOSDAQ,009620,삼보산업(주),2023,2024,B-,1
KOSDAQ,010170,대한광통신(주),2014,2015,BB,1
KOSDAQ,010170,대한광통신(주),2016,2017,BB,1
KOSDAQ,010170,대한광통신(주),2017,2018,BBB+,0
KOSDAQ,010170,대한광통신(주),2018,2019,A-,0
KOSDAQ,010170,대한광통신(주),2019,2020,BBB+,0
KOSDAQ,010170,대한광통신(주),2020,2021,BBB-,0
KOSDAQ,010170,대한광통신(주),2021,2022,BB,1
KOSDAQ,010170,대한광통신(주),2022,2023,BBB-,0
KOSDAQ,010170,대한광통신(주),2023,2024,BB+,1
KOSDAQ,010240,(주)흥국,2014,2015,BBB,0
KOSDAQ,010240,(주)흥국,2015,2016,BBB,0
KOSDAQ,010240,(주)흥국,2016,2017,BBB,0
KOSDAQ,010240,(주)흥국,2017,2018,BBB+,0
KOSDAQ,010240,(주)흥국,2018,2019,A-,0
KOSDAQ,010240,(주)흥국,2019,2020,A-,0
KOSDAQ,010240,(주)흥국,2020,2021,A-,0
KOSDAQ,010240,(주)흥국,2021,2022,A,0
