market,stock_code,corp_name,fiscal_year,eval_year,evaluation_date,security_name,security_type_code,rating_raw,credit_rating,rating_rank,rating_agency,rating_agency_group,is_investment_grade,is_speculative,selection_scope,selection_rule,candidate_count_in_year,big3_candidate_count_in_year,other_domestic_candidate_count_in_year,foreign_candidate_count_in_year
KOSDAQ,000250,삼천당제약(주),2016,2017,2017-12-31,기업신용등급,40,A-,A-,7,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,000250,삼천당제약(주),2017,2018,2018-12-31,기업신용등급,40,A-,A-,7,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,000250,삼천당제약(주),2018,2019,2019-12-31,기업신용등급,40,A-,A-,7,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,000250,삼천당제약(주),2019,2020,2020-12-31,기업신용등급,40,BBB+,BBB+,8,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,000250,삼천당제약(주),2020,2021,2021-12-31,기업신용등급,40,BBB-,BBB-,10,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,000250,삼천당제약(주),2021,2022,2022-12-31,기업신용등급,40,BBB-,BBB-,10,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,000250,삼천당제약(주),2022,2023,2023-12-31,기업신용등급,40,BBB-,BBB-,10,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,000250,삼천당제약(주),2023,2024,2024-12-31,기업신용등급,40,BBB-,BBB-,10,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001540,안국약품(주),2016,2017,2017-12-31,기업신용등급,40,A-,A-,7,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001540,안국약품(주),2017,2018,2018-12-31,기업신용등급,40,A-,A-,7,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001540,안국약품(주),2018,2019,2019-12-31,기업신용등급,40,A-,A-,7,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001540,안국약품(주),2019,2020,2020-12-31,기업신용등급,40,A-,A-,7,NICE평가정보주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001540,안국약품(주),2020,2021,2021-11-25,기업신용등급,40,BBB+,BBB+,8,NICE 평가정보 주식회사,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,2,0,2,0
KOSDAQ,001540,안국약품(주),2021,2022,2022-12-22,기업신용등급,40,BBB+,BBB+,8,(주)NICE디앤비,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2014,2015,2015-12-31,기업신용등급,40,A-,A-,7,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2015,2016,2016-12-31,기업신용등급,40,A-,A-,7,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2016,2017,2017-12-31,기업신용등급,40,A-,A-,7,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2017,2018,2018-12-31,기업신용등급,40,A-,A-,7,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2018,2019,2019-12-31,기업신용등급,40,A-,A-,7,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2019,2020,2020-12-31,기업신용등급,40,A-,A-,7,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2020,2021,2021-12-31,기업신용등급,40,A-,A-,7,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2021,2022,2022-12-31,기업신용등급,40,A-,A-,7,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,001840,이화공영(주),2022,2023,2023-12-31,기업신용등급,40,BBB+,BBB+,8,SCI평가정보,OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,002290,(주)삼일기업공사,2016,2017,2017-06-17,기업신용평가,40,A-,A-,7,SCI신용평가(주),OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,002290,(주)삼일기업공사,2017,2018,2018-06-14,기업신용평가,40,A-,A-,7,SCI신용평가(주),OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,002290,(주)삼일기업공사,2018,2019,2019-06-12,기업신용평가,40,A-,A-,7,SCI신용평가(주),OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,002290,(주)삼일기업공사,2019,2020,2020-06-11,기업신용평가,40,A-,A-,7,SCI신용평가(주),OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,002290,(주)삼일기업공사,2020,2021,2021-06-10,기업신용평가,40,A+,A+,5,SCI신용평가(주),OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,002290,(주)삼일기업공사,2021,2022,2022-06-09,기업신용평가,40,A+,A+,5,SCI신용평가(주),OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,002290,(주)삼일기업공사,2022,2023,2023-06-08,기업신용평가,40,A+,A+,5,SCI신용평가(주),OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,002290,(주)삼일기업공사,2023,2024,2024-06-07,기업신용평가,40,A+,A+,5,SCI신용평가(주),OTHER,1,0,OTHER_DOMESTIC,lowest_grade_among_other_domestic_agencies_within_eval_year,1,0,1,0
KOSDAQ,003380,(주)하림지주,2020,2021,2021-07-21,기업신용평가,40,A-(안정적),A-,7,NICE신용평가,BIG3,1,0,BIG3,lowest_grade_among_big3_within_eval_year,1,1,0,0
KOSDAQ,003380,(주)하림지주,2021,2022,2022-09-21,기업신용평가,40,A-(안정적),A-,7,한국신용평가,BIG3,1,0,BIG3,lowest_grade_among_big3_within_eval_year,2,2,0,0
